 [   8090]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - TreeCacheUtils.treeDoc called for node: ptuexam-course-service (class: PsiDirectoryNode)
2025-08-09 18:02:30,732 [   8090]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - Extract doc for node: ptuexam-course-service (type: PsiDirectoryNode)
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - Node value: PsiDirectory:E:\A工程\主工程\ptuexam\ptuexam-cloud\ptuexam-servers\ptuexam-course-service (type: PsiJavaDirectoryImpl)
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - No documentation extracted for node: ptuexam-course-service
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - Extracted doc for node ptuexam-course-service: 'null'
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.Tree - Got doc for node ptuexam-course-service: 'null'
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.Tree - No doc to display for node: ptuexam-course-service
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.Tree - Tree decorator called for node: ptuexam-gateway-service (class: PsiDirectoryNode) showTreeComment: true
2025-08-09 18:02:30,733 [   8091]   INFO - com.github.frdevbyq.personideaplugin.showcomment.Tree - Current presentation data for node ptuexam-gateway-service: coloredText=1, presentableText='ptuexam-gateway-service'
2025-08-09 18:02:30,734 [   8092]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - TreeCacheUtils.treeDoc called for node: ptuexam-gateway-service (class: PsiDirectoryNode)
2025-08-09 18:02:30,734 [   8092]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - Extract doc for node: ptuexam-gateway-service (type: PsiDirectoryNode)
2025-08-09 18:02:30,734 [   8092]   INFO - com.github.frdevbyq.personideaplugin.showcomment.cache.TreeCacheUtils - Node value: PsiDirectory:E:\A工程\主工程\ptuexam\ptuexam-cloud\ptuexam-servers\ptuexam-gateway-service (type: PsiJavaDirectoryImpl)
